Step,X,Y,Z
11700,0,2271.99,23.5588,0
11700,1,3.84215e+08,1.19565e+07,0
11700,2,4.93596e+06,4.62483e+06,0
11760,0,2295.35,23.9231,0
11760,1,3.84213e+08,1.20178e+07,0
11760,2,4.60918e+06,4.94875e+06,0
11820,0,2318.83,24.2911,0
11820,1,3.84212e+08,1.20791e+07,0
11820,2,4.26102e+06,5.24971e+06,0
11880,0,2342.42,24.6629,0
11880,1,3.8421e+08,1.21404e+07,0
11880,2,3.89308e+06,5.52629e+06,0
11940,0,2366.14,25.0384,0
11940,1,3.84208e+08,1.22017e+07,0
11940,2,3.50706e+06,5.77719e+06,0
12000,0,2389.98,25.4177,0
12000,1,3.84206e+08,1.2263e+07,0
12000,2,3.10475e+06,6.00123e+06,0
12060,0,2413.93,25.8008,0
12060,1,3.84204e+08,1.23242e+07,0
12060,2,2.68801e+06,6.19735e+06,0
12120,0,2438,26.1878,0
12120,1,3.84202e+08,1.23855e+07,0
12120,2,2.25877e+06,6.36462e+06,0
12180,0,2462.2,26.5786,0
12180,1,3.842e+08,1.24468e+07,0
12180,2,1.81902e+06,6.50225e+06,0
12240,0,2486.51,26.9733,0
12240,1,3.84198e+08,1.25081e+07,0
12240,2,1.3708e+06,6.60957e+06,0
12300,0,2510.94,27.3718,0
12300,1,3.84196e+08,1.25694e+07,0
12300,2,916194,6.68605e+06,0
12360,0,2535.49,27.7743,0
12360,1,3.84194e+08,1.26307e+07,0
12360,2,457326,6.73133e+06,0
12420,0,2560.16,28.1807,0
12420,1,3.84192e+08,1.2692e+07,0
12420,2,-3664.7,6.74516e+06,0
12480,0,2584.95,28.5911,0
12480,1,3.8419e+08,1.27533e+07,0
12480,2,-464626,6.72747e+06,0
12540,0,2609.86,29.0054,0
12540,1,3.84188e+08,1.28145e+07,0
12540,2,-923403,6.67832e+06,0
12600,0,2634.89,29.4237,0
12600,1,3.84186e+08,1.28758e+07,0
12600,2,-1.37784e+06,6.59791e+06,0
12660,0,2660.04,29.846,0
12660,1,3.84184e+08,1.29371e+07,0
12660,2,-1.82582e+06,6.4866e+06,0
12720,0,2685.31,30.2723,0
12720,1,3.84182e+08,1.29984e+07,0
12720,2,-2.26523e+06,6.3449e+06,0
12780,0,2710.7,30.7026,0
12780,1,3.8418e+08,1.30597e+07,0
12780,2,-2.694e+06,6.17344e+06,0
12840,0,2736.2,31.137,0
12840,1,3.84178e+08,1.3121e+07,0
12840,2,-3.11013e+06,5.97302e+06,0
12900,0,2761.83,31.5755,0
12900,1,3.84176e+08,1.31823e+07,0
12900,2,-3.51163e+06,5.74457e+06,0
12960,0,2787.58,32.0181,0
12960,1,3.84173e+08,1.32435e+07,0
12960,2,-3.89664e+06,5.48913e+06,0
13020,0,2813.44,32.4648,0
13020,1,3.84171e+08,1.33048e+07,0
